Translation Key,Translated Value
ammo-vog-25,Grenade VOG-25
isg_scientific_outfit_description,%c[ui_gray_1]Initialement commandée par la première équipe UNISG à un institut de recherche de Kiev pour leurs missions scientifiques dans la Zone. Les tissus spéciaux assurent meilleure protection et durabilité contre radiations et phénomènes anormaux. Mais l'armure intégrée cède facilement face aux balles.\n \n
st_letter_to_outside_name,Lettre à Natalie
st_data_export_is_junk,Is junk
st_bolt_carrier_6,Culasse mobile à verrou (Culasse)
st_itm_advancedkit_name,Kit d'outils avancé
mutant_boar_chop_description,"Un morceau de viande prélevé sur un sanglier mutant, ferme et au goût de gibier mais comestible une fois correctement cuisiné. Sache que consommer de la viande mutante crue comporte toujours un risque de contamination ou d'exposition à la radiation.\n \n %c[ui_red]AVERTISSEMENT : Viande crue\n \n %c[pda_white]PROPRIÉTÉS :\n %c[d_cyan] @ %c[pda_white] Viande de mutant bas de gamme\n %c[d_cyan] @ %c[pda_white] Cuisinable\n"
st_af_vyvert_af_aac_name,CAC avec Tortillon
exo_merc_urban_outfit_name,Exocombinaison urbaine mercenaire
gamma_fire_wound_cap,%c[pda_white]Protection Balistique :
st_af_cristall_flower_af_aac_name,AAC w/ Stone Flower
l13_generators,Générateurs
st_gamma_recipe_expert_1,Guide de Survie Vol.3
st_data_export_post_heal_torso,Post-Heal Torso
st_note_rf_tip_af_ice_name,Signal RF Anormal : Glace (Artefact)
st_wpn_glock17,Glock 17
st_wpn_ks23_kaban_descr,"Le KS-23 est techniquement un « fusil à pompe » manuel tirant des cartouches 23mm spéciales. Cependant, malgré son apparence de fusil à pompe, il a été officiellement classé « carabine spéciale » par les Russes, en raison de son canon rayé de 700mm, beaucoup plus imposant qu'un fusil à pompe conventionnel à canon lisse. Le Drozd est une version plus compacte du KS-23, équipée d'un canon raccourci à 510mm et d'une poignée-pistolet à la place de la crosse classique.\n \n %c[0,255,255,255]PROPRIÉTÉS :\n %c[d_cyan] @ %c[0,255,255,255] origine : %c[ui_gray_2]URSS\n %c[d_cyan] @ %c[0,255,255,255] fabricant : %c[ui_gray_2]Tula Arms Plant\n"
st_af_frames_name,Cadres en aluminium
st_data_export_bonus_mutant_part_chance,Bonus mutant part chance
st_rasp_tool,Lime de réparation
st_data_export_can_be_crafted,Can be crafted
st_data_export_eat_health_change,Health change
stalker_autumn_outfit_description,"%c[ui_gray_1]Assemblage Zone fait main. Un vrai favori chez les jeunes chasseurs d'artefacts et les tueurs créatifs : idéale pour traverser ou se cacher dans les anomalies chimiques. Légèrement plus confortable et dotée d'une meilleure protection balistique que la moyenne, elle est à peine plus chère qu'une Sunrise et offre un vrai + aux stalkers prêts à investir un peu plus.\n \n"
