Translation Key,Translated Value
ammo-vog-25,VOG-25 grenade
isg_scientific_outfit_description,Originally commissioned by the first iteration of UNISG from one of Kiev's defense research institutes for research in the Zone. The special treatment materials provide enhanced protection and durability against radiation and anomalous effects.\n \n
st_letter_to_outside_name,Letter to Natalie
st_data_export_is_junk,Is junk
st_bolt_carrier_6,Sliding Bolt Carrier with Locking Bolt (Carrier)
st_itm_advancedkit_name,Advanced Tools
mutant_boar_chop_description,"A chunk of meat harvested from a mutant boar, tough and gamey but edible with proper cooking. Note that consuming uncooked mutant meat always carries the risk of contamination or radiation exposure.\n \n %c[ui_red]WARNING: Raw Meat\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Low-tier Mutant Meat\n %c[d_cyan] • %c[pda_white] Cookable\n"
exo_merc_urban_outfit_name,Mercenary Urban Exosuit
gamma_fire_wound_cap,Ballistic Cap
l13_generators,Generators
st_gamma_recipe_expert_1,Survival Guide Vol. 3
st_data_export_post_heal_torso,Post-Heal Torso
st_wpn_glock17,Glock 17
st_ied_descr,"An improvised explosive device designed to disperse hazardous chemical agents upon detonation, creating an area of toxic contamination. Its use poses both immediate and long-term threats, making it a highly dangerous weapon in unconventional warfare.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Explosive\n %c[d_cyan] • %c[pda_white] Triggering Mechanism: %c[ui_gray_2]Proximity\n"
st_af_frames_name,Aluminium Frames
st_data_export_bonus_mutant_part_chance,Bonus mutant part chance
st_rasp_tool,File
st_data_export_can_be_crafted,Can be crafted
st_data_export_eat_health_change,Health change
st_wpn_mp5_custom,MP5A3
mutant_lurker_meat_description,"Tough, sinewy meat carved from a Lurker, best suited for stew due to its rubbery consistency. Note that consuming uncooked mutant meat always carries the risk of contamination or radiation exposure.\n \n %c[ui_red]WARNING: Raw Meat\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] High-tier Mutant Meat\n %c[d_cyan] • %c[pda_white] Cookable\n"
st_jerrycan_fuel,Jerrycan
st_powder_pistol,Pistol/Shotgun Propellant
st_placeable_fchair,Modern Chair
st_addon_scope_kab_up,Tactical Kit
st_prt_w_p_trigger_1,Single-action Trigger Mechanism (Trigger)
st_wpn_aks74_descr,"Developed in the early 1970s by Mikhail Kalashnikov to replace the AKM, the AK-74 is an adaptation of the 7.62x39mm AKM assault rifle and features several important design improvements including the use of the newer, high velocity 5.45x39mm round. Compared with the preceding AKM, it has better effective firing range, accuracy and reliability. All AKS-74 rifles came with a side-folding metal shoulder stock.\n \n %c[0,255,255,255]PROPERTIES:\n %c[d_cyan] • %c[0,255,255,255] origin: %c[ui_gray_2]Russia\n %c[d_cyan] • %c[0,255,255,255] manufacturer: %c[ui_gray_2]Izhmash\n"
st_addon_sil_ash12,CKIB ASH-12 Suppressor
st_wpn_pl15_pl15_scolaz,"Lebedev PL-15 ""Bearcat"""
st_wpn_pm_actor,"Makarov PM ""Ceremonial"""
mutant_heart_chimera,Chimera Heart
st_wpn_fnx45_custom,FNX-45
st_drug_booster,Hercules
st_wpn_mp7_descr_new,"A compact personal defense weapon designed for high mobility and effectiveness in close-quarters combat. Featuring a lightweight polymer frame, low recoil, and a high rate of fire, it allows for rapid target acquisition and superior control. Its modular design supports various attachments, making it a versatile choice for special forces, law enforcement, and security personnel.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Origin: %c[ui_gray_2]Germany\n %c[d_cyan] • %c[pda_white] Manufacturer: %c[ui_gray_2]Heckler & Koch\n"
st_ball_hammer,Ball-peen Hammer
st_af_frames_up_name,Improved Aluminium Frames
st_gas_tube_3,Gas Tube [V] (Gas Tube)
st_addon_scope_e0t2_mag_descr,"A compact holographic sight with a low-profile housing and intuitive controls for instinctive aiming at close range. Paired with a 3x flip-to-side magnifier, the kit lets the shooter quickly switch from reflex engagement to short-to-medium-range identification and precision follow-ups without changing optics.\n \n %c[0,255,255,255]PROPERTIES:\n %c[d_cyan] • %c[0,255,255,255] Origin: %c[ui_gray_2]United States\n %c[d_cyan] • %c[0,255,255,255] Manufacturer: %c[ui_gray_2]EOTech\n %c[d_cyan] • %c[0,255,255,255] Magnification: %c[ui_gray_2]1x / 3x\n %c[d_cyan] • %c[0,255,255,255] Magnifier flip: %c[ui_gray_2]set in MCM — Magnifier Switch\n \n"
st_prt_i_resistors,Box of Resistors
st_wpn_eft_rsh12_descr,"The powerful RSh-12 (Revolver Shturmovoy 12 - ""Assault Revolver 12"") revolver, manufactured by KBP Instrument Design Bureau, designed for use by special forces. Despite the powerful 12.7x55 mm caliber, RSh-12 has less recoil than many other large-caliber revolvers and pistols, since the shot is fired from the bottom chamber of the cylinder. \n \n"
st_wpn_akms_bas_descr,"An improved version of the AK-47 rifle featuring detailed improvements and enhancements that optimized the rifle for mass production. Among these changes, the AKM's weight was reduced, the accuracy during automatic fire was increased and several reliability issues were addressed. All AKMS rifles came equipped with an under-folding metal shoulder stock in place of the fixed wooden stock.\n \n %c[0,255,255,255]PROPERTIES:\n %c[d_cyan] • %c[0,255,255,255] origin: %c[ui_gray_2]Soviet Union\n %c[d_cyan] • %c[0,255,255,255] manufacturer: %c[ui_gray_2]Tula Arms Plant\n"
st_af_electra_flash_name,Flash
st_wpn_pm_custom,Makarov PM
st_army_bowler,Army Kettle
st_data_export_post_heal_arm,Post-Heal Arm
st_prop_lamp1,Desk Lamp
st_wpn_mossberg590a1,Mossberg 590A1
st_prt_w_p_barrel_6,9x18mm Barrel (enclosed) (Barrel)
light_merc_outfit_name,Mercenary IBAz Suit
