Translation Key,Translated Value
#1,#1
#2,#2
#3,#3
#4,#4
BR,BR
BR1,BR1
BR2,BR2
BR3,BR3
BR4,BR4
BR5,BR5
ace_outfit_description,"%c[ui_gray_1]Крайне удобный бронекостюм «Ас» с закрытой системой дыхания является одним из самых высокотехнологичных и продвинутых защитных бронекостюмов в Зоне. Способен защитить от винтовочных калибров и обеспечить отличную защиту от воздействия окружающей среды. «Ас» сконструирован таким образом, что у него в распоряжении присутствует возможность установки большого количества высокотехнологичных улучшений, которые повышают и без того отличные защитные характеристики ещё дальше. Приобретение данного бронекостюма могут позволить себе лишь самые опытные и обеспеченные наёмники, которые действуют в самых опасных уголках Зоны как, например, Рыжий лес.\n \n"
ace_outfit_name,Бронекостюм с ЗСД «Ас»
af-ameba-mica,«Ртутный шар»
af-ameba-slime,«Радиоактивный болт»
af-ameba-slug,«Радиоактивный обломок»
af-blood,«Жабий глаз»
af-cristall-flower,«Стеклянный бублик»
af-dummy-glassbeads,«Мёртвая голова»
af-dummy-spring,«Мочалка»
af-electra-flash,«Жгучая вата»
af-electra-moonlight,«Электрический шар»
af-electra-sparkler,«Меркурий»
af-fireball,«Прозрачный шар»
af-medusa,«Бублик»
af-mincer-meat,«Ржавые волосы»
af-night-star,«Магнит»
af-vyvert,«Обломок грави»
af_ameba_mica,«Слюда»
af_ameba_slime,«Слизь»
af_ameba_slug,«Слизняк»
af_arhara_globus_descr,"Напоминает детскую погремушку с колючками, откуда и пошло его название. Помогает организму быстрее восстанавливать потребность в жажде и голоде, не дает защиту электрических аномалий. \n \n %c[ui_gray_2]ХАРАКТЕРИСТИКИ:\n %c[d_cyan] • %c[ui_gray_2] Нестабильный артефакт, мусорный\n %c[d_cyan] • %c[ui_gray_2] Невозможно поместить в контейнер"
af_arhara_globus_name,«Погремушка»
af_armor_1_descr,"Артефакт повышает выживаемость носителя в заварушках. \n \n %c[ui_gray_2]ХАРАКТЕРИСТИКИ:\n %c[200,210, 131, 60] • %c[ui_gray_2] Радиоактивное излучение по «Шкале излучения артефактов» - %c[200,210, 131, 60]низкое."
af_armor_1_name,«Шкура»
af_armor_2_descr,"""Чешуя"" в общем благотворно влияет на организм. \n \n %c[ui_gray_2]ХАРАКТЕРИСТИКИ:\n %c[200,210, 131, 60] • %c[ui_gray_2] Радиоактивное излучение по «Шкале излучения артефактов» - %c[200,210, 131, 60]низкое."
af_armor_2_name,«Чешуя»
af_armor_3_descr,"""Панцирь"" у носящего его человека повышает сопротявляемость ударам. Зато отрицательных свойств не имеет. \n \n %c[ui_gray_2]ХАРАКТЕРИСТИКИ:\n %c[200,210, 131, 60] • %c[ui_gray_2] Радиоактивное излучение по «Шкале излучения артефактов» - %c[200,210, 131, 60]низкое."
af_armor_3_name,«Панцирь»
af_armor_4_descr,"Данный артефакт умеренно защищает от всех аномальных воздействий ЧЗО и от внезапных ударов. \n \n %c[ui_gray_2]ХАРАКТЕРИСТИКИ:\n %c[200,210, 131, 60] • %c[ui_gray_2] Радиоактивное излучение по «Шкале излучения артефактов» - %c[200,210, 131, 60]низкое."
af_armor_4_name,«Скальп контролёра»
af_babka_1_descr,"Подобно Маминым Бусам останавливают кровотечение, но за меньшую дозу радиации. \n \n %c[ui_gray_2]ХАРАКТЕРИСТИКИ:\n %c[200,210, 131, 60] • %c[ui_gray_2] Радиоактивное излучение по «Шкале излучения артефактов» - %c[200,210, 131, 60]низкое."
af_babka_1_name,«Бабкины бусы»
af_babka_2_descr,"Данный артефакт еще лучше заживляет раны, по сравнению с Бабкиными бусами, но доза радиации увеличилась вдвое. \n \n %c[ui_gray_2]ХАРАКТЕРИСТИКИ:\n %c[200,210, 131, 60] • %c[ui_gray_2] Радиоактивное излучение по «Шкале излучения артефактов» - %c[200,210, 131, 60]среднее."
af_babka_2_name,«Бусы прабабки»
af_babka_3_descr,"Редкий артефакт, сильно ускоряющиий заживление ран. \n \n %c[ui_gray_2]ХАРАКТЕРИСТИКИ:\n %c[200,210, 131, 60] • %c[ui_gray_2] Радиоактивное излучение по «Шкале излучения артефактов» - %c[200,210, 131, 60]высокое."
af_babka_3_name,«Бусы бабки бюрера»
af_blood_green_descr,"С виду обычная ""Кровь камня"", но зеленая. Излучает слабый свет. Защищает владельца от радиации. \n \n %c[ui_gray_2]ХАРАКТЕРИСТИКИ:\n %c[200,210, 131, 60] • %c[ui_gray_2] Радиоактивное излучение по «Шкале излучения артефактов» - %c[200,210, 131, 60]высокое."
