"""Og-7b""","""Og-7b"""
"""VOG-25""","""VOG-25"""
"""don't spawn, dummy no sound item""","""don't spawn, dummy no sound item"""
"""tch_upgr""","""tch_upgr"""
#1,#1
#2,#2
#3,#3
#4,#4
-,-
.,.
BR,BR
BR1,BR1
BR2,BR2
BR3,BR3
BR4,BR4
BR5,BR5
BR6,BR6
BR7,BR7
MDR,Desert Tech MDR 5.56x45
MDR_black,Desert Tech MDR 7.62x51
MDR_black_descr,"The Desert Tech MDR (Micro Dynamic Rifle) is a versatile, bullpup-configured rifle known for its compact design and exceptional modularity. Chambered for various calibers, it excels in both close-quarters and long-range combat. Its ambidextrous controls, lightweight frame, and high accuracy make it a reliable choice for those navigating the unpredictable dangers of the Zone. This version is chambered in 7.62x51 with a black polymer body.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Origin: %c[ui_gray_2]United States\n %c[d_cyan] • %c[pda_white] Manufacturer: %c[ui_gray_2]Desert Tech LLC\n"
MDR_descr,"The Desert Tech MDR (Micro Dynamic Rifle) is a versatile, bullpup-configured rifle known for its compact design and exceptional modularity. Chambered for various calibers, it excels in both close-quarters and long-range combat. Its ambidextrous controls, lightweight frame, and high accuracy make it a reliable choice for those navigating the unpredictable dangers of the Zone. This version is chambered in 5.56x45 with a tan polymer body.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Origin: %c[ui_gray_2]United States\n %c[d_cyan] • %c[pda_white] Manufacturer: %c[ui_gray_2]Desert Tech LLC\n"
MDR_up_descr,"The Desert Tech MDR (Micro Dynamic Rifle) is a versatile, bullpup-configured rifle known for its compact design and exceptional modularity. Chambered for various calibers, it excels in both close-quarters and long-range combat. Its ambidextrous controls, lightweight frame, and high accuracy make it a reliable choice for those navigating the unpredictable dangers of the Zone. This version is chambered in 5.56x45 with a tan polymer body and has been permanently upgraded with the Special Upgrade Pack.\n \n %c[pda_white]PROPERTIES:\n %c[d_cyan] • %c[pda_white] Origin: %c[ui_gray_2]United States\n %c[d_cyan] • %c[pda_white] Manufacturer: %c[ui_gray_2]Desert Tech LLC\n"
MountedWeapon,MountedWeapon
ace_outfit_description,"One of the most technologically advanced bodysuits in the Zone. The ACE armor system incorporates a next-generation CBRN and a pocketed Kevlar vest with Class III plate inserts. Using state of the art materials such as selectively-permeable coatings, this suit manages both maximal anomaly protection and wearer comfort. Used by only the wealthiest Mercenaries.\n \n"
ace_outfit_name,Mercenary ACE Scientific Suit
af_ameba_mica,af_ameba_mica
af_ameba_slime,af_ameba_slime
af_ameba_slug,af_ameba_slug
af_drops,af_drops
af_dummy_pellicle,af_dummy_pellicle
af_dummy_spring,af_dummy_spring
af_rusty_kristall,af_rusty_kristall
af_rusty_sea_urchin,af_rusty_sea_urchin
af_rusty_thorn,af_rusty_thorn
agr_smart_terrain_1_6_army_trader_stalker_name,Sergeant Spooner
ah_gramota_desc,"A personalized letter of appreciation recognizing your contributions to science, personally signed by Academician Skabinsky. Also includes a recommendation to accept the bearer of this document as a candidate at the Chernobyl Zonal Institute."
ah_gramota_info,Letter of Recommendation
ammo-11.43x23-fmj,.45 ACP FMJ rounds
ammo-11.43x23-fmj_descr,"The .45 calibre full metal jacket round has enjoyed popularity for a hundred years thanks to its ballistic performance and a relatively small propelling charge. As a result, the bullet in this round is relatively slow but highly accurate and provides considerable stopping power.\n \n%c[ui_gray_2] - %c[ui_gray_2] Armor penetration power (AP): %c[ui_gray_1]BR2 (20) \n%c[ui_gray_2] - %c[ui_gray_2] Nominal stopping power (DMG): %c[ui_gray_1]27"
ammo-11.43x23-hydro,.45 ACP Hydra-shock HP rounds
ammo-11.43x23-hydro_descr,"This unusual .45 ACP calibre round consists of a jacketed soft point bullet with a hollow steel core, possessing both their advantages and disadvantages.\n \n%c[ui_gray_2] - %c[ui_gray_2] Armor penetration power (AP): %c[ui_gray_1]None (10) \n%c[ui_gray_2] - %c[ui_gray_2] Nominal stopping power (DMG): %c[ui_gray_1]60"
ammo-12.7x55-fmj,12.7x55mm STs-130 rounds
ammo-12.7x55-fmj_descr,"The full metal jacket 12.7x55mm subsonic cartridge is used in the VKS bullpup sniper rifle. The cartridge can carry a projectile weighing between from 59 grams (911 grains) and 76 g (1173 grains), yielding massive amounts of kinetic energy.\n \n%c[ui_gray_2] - %c[ui_gray_2] Armor penetration power (AP): %c[ui_gray_1]BR4 (38) \n%c[ui_gray_2] - %c[ui_gray_2] Nominal stopping power (DMG): %c[ui_gray_1]73"
ammo-12x70-buck,12x70 buckshot shells
ammo-12x70-buck_descr,"Standard 12 gauge shell filled with 8 mm shot. Highly lethal at close range. Only suitable for use with smoothbore weapons.\n \n%c[ui_gray_2] - %c[ui_gray_2] Armor penetration power (AP): %c[ui_gray_1]None (3 x 9) \n%c[ui_gray_2] - %c[ui_gray_2] Nominal stopping power (DMG): %c[ui_gray_1]200 (22.2 x 9) \n \n%c[ui_gray_1]SPECIAL:\n \n%c[ui_gray_2] - %c[ui_gray_2] expanding cloud of pellets, short eff. range"
ammo-12x70-buck_self,Home-made 12x70 shot shells
ammo-12x70-buck_self_descr,"Home-made 12 gauge shell filled with small pieces of metal junk, including used or damaged bullets or even shrapnel. Highly lethal at close range. Only suitable for use with smoothbore weapons.\n \n%c[ui_gray_2] - %c[ui_gray_2] Armor penetration power (AP): %c[ui_gray_1]none\n%c[ui_gray_2] - %c[ui_gray_2] Nominal stopping power (DMG): %c[ui_gray_1]medium - high\n \n%c[ui_gray_1]SPECIAL:\n \n%c[ui_gray_2] - %c[ui_gray_2] expanding cloud of pellets, short eff. range"
ammo-12x76-bull,12x76 Bull shells
ammo-12x76-bull_descr,"12 gauge custom-made slugs for putting down dinosaurs and mutants. Slug inside is made of lead covered in copper that has steel, dart-like insert inside. Slug is very long and has got big powder load. It really can break your hands with recoil.\n \n%c[ui_gray_2] - %c[ui_gray_2] Armor penetration power (AP): %c[ui_gray_1]BR2 \n%c[ui_gray_2] - %c[ui_gray_2] Nominal stopping power (DMG): %c[ui_gray_1]very high"
ammo-12x76-dart,12x76 AP slugs
ammo-12x76-dart_descr,"12 gauge dart round, normally used for hunting big game but also suitable for other purposes, including puncturing armour.\n \n%c[ui_gray_2] - %c[ui_gray_2] Armor penetration power (AP): %c[ui_gray_1]BR4 (42) \n%c[ui_gray_2] - %c[ui_gray_2] Nominal stopping power (DMG): %c[ui_gray_1]74"
ammo-12x76-zhekan,12x76 slug shells
