Translation Key,Translated Value
"""Og-7b""","""Og-7b"""
"""VOG-25""","""VOG-25"""
"""don't spawn, dummy no sound item""","""don't spawn, dummy no sound item"""
"""tch_upgr""","""tch_upgr"""
#1,#1
#2,#2
#3,#3
#4,#4
-,-
.,.
BR,BR
BR1,BR1
BR2,BR2
BR3,BR3
BR4,BR4
BR5,BR5
MountedWeapon,MountedWeapon
ace_outfit_description,"%c[ui_gray_1]One of the most technologically advanced bodysuits in the Zone, if not the most advanced. The ACE is a masterpiece of Zone outfit design; not only does it protect from rifle bullets, but it also provides great environmental protection. The suit is also built in a way that allows for a great number of high-tech upgrades that increase the wearer's chance of survival even further, on top of allowing extreme comfort through smart selectively permeable materials. The suit is used by highly experienced and wealthy Mercenaries on high-risk contracts, particularly in areas such as the Red Forest, where they would need to be ready for anything.\n \n"
ace_outfit_name,Mercenary ACE scientific suit
af-ameba-mica,"""Mercury Ball"""
af-ameba-slime,"""Radioactive bolt"""
af-ameba-slug,"""Radioactive Chip"""
af-blood,"""Toad's Eye"""
af-cristall-flower,"""Glass bagel"""
af-dummy-glassbeads,"""Dead Head"""
af-dummy-spring,"""Wisp"""
af-electra-flash,"""Burning cotton candy"""
af-electra-moonlight,"""Electric Balloon"""
af-electra-sparkler,"""Mercury"""
af-fireball,"""Transparent ball"""
af-medusa,"""Bagel"""
af-mincer-meat,"""Rusty Hair"""
af-night-star,"""Magnet"""
af-vyvert,"""Fragment of gravi"""
af_ameba_mica,Mica
af_ameba_slime,Slime
af_ameba_slug,Slug
af_arhara_globus_descr,"Reminds a baby rattle with spines, from where went the name of it... Helps the body to faster restore strength, gives protection against chemical and electrical anomalies. A little radioactive."
af_arhara_globus_name,Baby Rattle
af_armor_1_descr,Artefact makes it possible to carry a little more things in a backpack. Has no other properties.
af_armor_1_name,Hide
af_armor_2_descr,Scale in general has beneficial effect on the body. Radioactive.
af_armor_2_name,Scale
af_armor_3_descr,Armor reduces bleeding of those who wear it. Has no other properties.
af_armor_3_name,Armor
